location	total_cases_per_million_w40_w52	people_fully_vaccinated_per_hundred
Afghanistan	78.42200000000003	
Africa	1054.1980000000003	4.2
Albania	14734.415000000008	
Algeria	352.1099999999997	
Andorra	110828.14100000003	61.69
Angola	780.1110000000001	2.97
Anguilla	86611.57	
Antigua and Barbuda	13775.221000000001	
Argentina	8858.649999999994	46.79
Armenia	29104.202999999994	4.85
Aruba	47063.76199999999	69.51
Asia	2000.6659999999974	35.7
Australia	11785.149000000001	41.51
Austria	60015.998999999996	60.16
Azerbaijan	13313.059999999998	35.57
Bahamas	9757.780999999995	
Bahrain	4145.753999999986	63.56
Bangladesh	205.5759999999991	9.7
Barbados	72952.437	35.55
Belarus	17887.258	16.61
Belgium	74930.79299999999	72.42
Belize	32698.22000000001	
Benin	158.78199999999993	
Bermuda	23159.183000000005	
Bhutan	78.21500000000015	63.66
Bolivia	8523.496999999996	27.54
Bonaire Sint Eustati	52448.478	
Bosnia and Herzegovi	18542.289000000004	
Botswana	17971.501000000004	
Brazil	4320.421999999991	40.71
British Virgin Islan	27939.388000000006	
Brunei	20225.034999999996	40.41
Bulgaria	36865.263000000006	18.98
Burkina Faso	160.952	
Burundi	898.3779999999997	
Cambodia	673.0609999999997	64.23
Cameroon	879.8400000000001	
Canada	15521.943999999996	70.43
Cape Verde	7624.119000000006	23.17
Cayman Islands	120650.245	
Central African Repu	160.9760000000001	
Chad	39.66899999999998	0.17
Chile	8054.396999999997	73.42
China	4.336999999999989	
Colombia	4013.6860000000015	32.54
Comoros	2704.692	
Congo	1056.3870000000002	
Cook Islands	56.907999999999994	
Costa Rica	9607.607000000004	
Cote d'Ivoire	411.221	
Croatia	77261.26900000001	
Cuba	9881.777999999991	43.79
Curacao	30049.273	
Cyprus	52609.081000000006	
Czechia	73323.802	55.52
Democratic Republic 	196.75699999999995	
Denmark	76610.50499999999	74.78
Djibouti	1399.925000000001	
Dominica	48786.23300000001	
Dominican Republic	5626.3110000000015	44.44
Ecuador	2323.2839999999997	55.16
Egypt	805.212	
El Salvador	3056.0710000000017	50.76
Equatorial Guinea	1313.2020000000002	
Eritrea	365.68399999999974	
Estonia	66309.083	53.29
Eswatini	17348.634000000005	
Ethiopia	667.0389999999998	0.64
Europe	39290.834	51.87
European Union	40715.172999999995	62.48
Faeroe Islands	94632.336	73.39
Falkland Islands	4535.147000000001	
Fiji	2854.1399999999994	
Finland	21787.876	61.37
France	44188.277	65.46
French Polynesia	21958.418999999994	
Gabon	5560.75	
Gambia	96.5039999999999	
Georgia	82479.32799999998	19.54
Germany	35624.186	63.58
Ghana	515.723	
Gibraltar	94594.99600000001	
Greece	54468.97900000001	58.4
Greenland	35978.054000000004	
Grenada	11140.114000000001	
Guatemala	4317.784	12.6
Guernsey	0	
Guinea	125.13700000000017	4.06
Guinea-Bissau	191.02099999999973	
Guyana	10660.117000000006	
Haiti	389.8050000000003	0.18
High income	30512.99399999999	58.89
Honduras	1628.2430000000022	
Hong Kong	60.375	54.51
Hungary	45290.602	58.44
Iceland	41831.168000000005	
India	848.849000000002	16.09
Indonesia	197.95399999999972	17.46
International	0	
Iran	7772.441000000006	
Iraq	2427.745999999999	7.12
Ireland	81053.53799999999	73.99
Isle of Man	72754.947	
Israel	12670.97199999998	60.71
Italy	24274.149000000005	67.28
Jamaica	3747.147000000001	
Japan	266.97199999999975	57.51
Jersey	0	73.24
Jordan	22219.252999999997	31.58
Kazakhstan	6223.913999999997	33.66
Kenya	846.893	1.62
Kiribati	0	
Kosovo	905.6659999999974	28.25
Kuwait	1305.517000000007	
Kyrgyzstan	970.2270000000026	9.03
Laos	12093.329	
Latvia	65287.79199999999	44.75
Lebanon	15614.217999999993	18.65
Lesotho	6490.303	
Liberia	93.81799999999998	
Libya	7437.482000000004	
Liechtenstein	67391.64499999999	60.0
Lithuania	72119.31300000001	60.48
Low income	389.24400000000014	1.26
Lower middle income	1750.6450000000004	13.65
Luxembourg	40963.17999999999	
Macao	19.745000000000005	
Madagascar	259.644	
Malawi	690.4639999999999	2.49
Malaysia	17081.024999999994	61.7
Maldives	20856.47999999998	
Mali	280.25800000000004	
Malta	29806.240000000005	81.4
Marshall Islands	0	
Mauritania	1175.6800000000012	
Mauritius	6542.969000000001	
Mexico	2663.267	34.17
Micronesia (country)	0	
Moldova	21652.449999999997	19.16
Monaco	42560.72900000001	
Mongolia	28410.33	63.87
Montenegro	64303.695000000036	33.28
Montserrat	2609.9170000000004	
Morocco	904.7309999999998	
Mozambique	1198.5809999999992	
Myanmar	1326.1319999999996	
Namibia	8005.505999999994	
Nepal	1248.1579999999994	20.34
Netherlands	66221.67199999999	
New Caledonia	23041.667	
New Zealand	1937.297	35.35
Nicaragua	560.5480000000002	
Niger	56.703	
Nigeria	175.293	
North America	22111.331999999995	47.02
North Macedonia	16883.209000000003	
Norway	37932.32199999999	66.36
Oceania	8003.502	30.79
Oman	354.1770000000033	
Pakistan	246.48300000000017	
Palau	165.07100000000003	
Palestine	13977.67700000001	
Panama	6787.957000000009	50.47
Papua New Guinea	1824.2130000000002	
Paraguay	872.2040000000052	
Peru	3711.006000000001	31.99
Philippines	3179.9259999999995	18.29
Poland	31880.334999999992	
Portugal	31737.160000000003	85.16
Qatar	4855.786999999997	
Romania	32140.962	27.85
Russia	20610.317000000003	28.58
Rwanda	1125.8229999999994	12.36
Saint Helena	0	
Saint Kitts and Nevi	21738.318	
Saint Lucia	13156.111000000004	
Saint Pierre and Miq	11956.333	
Saint Vincent and th	22575.92	
Samoa	0	
San Marino	81593.649	
Sao Tome and Princip	2475.7790000000005	
Saudi Arabia	263.4359999999997	51.99
Senegal	76.35400000000027	
Serbia	56504.45299999998	41.98
Seychelles	35456.47499999998	
Sierra Leone	82.41899999999998	
Singapore	35116.803	81.27
Slovakia	104813.902	42.66
Slovenia	83887.079	49.07
Solomon Islands	5.682000000000002	
Somalia	232.83100000000013	1.31
South Africa	9349.172000000006	13.98
South America	4812.838000000003	39.86
South Korea	6465.233	45.53
South Sudan	289.41999999999985	
Spain	28840.25900000002	77.97
Sri Lanka	3425.3600000000006	53.93
Sudan	187.9559999999999	
Suriname	21186.282999999996	
Sweden	16277.009000000005	64.61
Switzerland	57280.746	57.55
Syria	946.8849999999998	
Taiwan	35.21199999999999	9.02
Tajikistan	0.9230000000000018	
Tanzania	59.05799999999999	
Thailand	9460.886999999999	
Timor	338.5730000000003	
Togo	583.2580000000003	
Tonga	9.367	
Trinidad and Tobago	29892.246	34.12
Tunisia	1825.773000000001	
Turkey	28750.838999999993	51.22
Turks and Caicos Isl	11471.983000000007	
Uganda	372.5529999999999	
Ukraine	30989.797	12.61
United Arab Emirates	2706.7139999999927	
United Kingdom	77553.44900000001	65.63
United States	35289.582999999984	55.94
Upper middle income	5051.892999999996	55.88
Uruguay	7139.142999999996	73.91
Uzbekistan	790.1109999999999	
Vanuatu	9.540000000000001	
Vatican	0	
Venezuela	2877.379000000001	
Vietnam	9927.469000000001	8.44
Wallis and Futuna	0	
World	7093.6759999999995	32.8
Yemen	39.093999999999994	
Zambia	2400.393	2.02
Zimbabwe	5541.483	14.57
