location	a.excess_mortality_cumulative_per_million_delta_q4 + b.excess_mortality_cumulative_per_million_delta_q1	people_fully_vaccinated_per_hundred
Albania	-1328.5024990000002	0.32886333333333334
Armenia	-782.8166441999997	0.15318333333333334
Austria	-178.45705529999998	0.6680222222222223
Azerbaijan	-796.1485009999994	0.43876851851851834
Belgium	-288.9875756	0.7595951612903226
Brazil	-487.86214859999984	0.6109147540983605
Bulgaria	963.3655730799987	0.23230476190476193
Chile	166.37204700000007	0.8283435483870966
Colombia	-454.9228019000003	0.4750382352941176
Croatia	638.1231932699995	0.493306976744186
Cyprus	614.7287126200001	0.6296666666666666
Czechia	-2086.57647603	0.6016322580645159
Denmark	446.0115783	0.7880032258064519
Estonia	621.6476458200001	0.5962500000000002
Faeroe Islands	1367.9081809999998	0.7566133333333334
Finland	627.3924858299999	0.7359187500000001
France	-311.4117049	0.7272209677419356
Germany	-35.5659505399999	0.7138274193548386
Greece	948.2055634000002	0.6679322580645162
Greenland	-694.5909821999999	0.6458076923076923
Hong Kong	631.2096177400001	0.6516180327868852
Hungary	-686.6398976999999	0.6172024390243901
Iceland	331.89440117	0.7716777777777777
Iran	-384.13355700000034	0.5718392857142856
Ireland	12.041171200000036	0.7794508474576272
Israel	54.99946200000002	0.6380822580645161
Italy	-742.2474267	0.7448338709677417
Japan	270.70673955999996	0.7441612903225807
Kazakhstan	505.8394979999998	0.4206508771929825
Kosovo	-1511.0697119999995	0.41363750000000016
Kyrgyzstan	-207.51780220000012	0.14238360655737706
Latvia	875.4460526999997	0.5987193548387094
Lithuania	-152.49852859999987	0.662359677419355
Macao	108.7499677	0.7172225806451613
Malta	-337.14396435	0.8678709090909092
Mexico	-1506.627171	0.5042177777777778
Mongolia	759.7133556999999	0.6464526315789472
Netherlands	-4.681742900000074	0.6754444444444445
New Zealand	68.27536430000004	0.6477935483870968
North Macedonia	-825.0982752000004	0.3698055555555556
Norway	609.55472826	0.7088419354838709
Oman	-46.59821549999998	0.53472
Paraguay	-134.34185993000028	0.3789444444444445
Peru	-1352.6226399999991	0.5982000000000001
Poland	-762.6319557600004	0.5606795454545455
Portugal	-1181.1655139	0.841688888888889
Qatar	47.05643099999999	0.8826666666666667
Romania	649.2758275000003	0.3608354838709679
Russia	395.637036900001	0.4163733333333333
San Marino	-858.5710090000005	0.6935333333333333
Serbia	1173.0837327000004	0.4462
Slovakia	-1085.1728762700004	0.4727777777777778
Slovenia	-939.8077569299999	0.5552524590163933
South Africa	-1086.0465066000004	0.25442564102564097
South Korea	554.103850448	0.7551709677419352
Spain	-312.60100599999987	0.8071111111111112
Sweden	-163.0584718	0.7026111111111112
Switzerland	-573.09430733	0.6495196721311471
Taiwan	126.35921150000001	0.4957549019607842
Thailand	354.93067118	0.554998275862069
United Kingdom	-559.6278418000002	0.6934112903225809
United States	-139.62479850000022	0.6205532258064518
Uruguay	738.647841	0.7788822580645162
Uzbekistan	-217.01293529999987	0.20890714285714285
